file_name,relative_path,json_path,markdown_path,size_bytes,modified_time_utc,sha256,page_count,text_chars,has_text,ocr,extraction_tool,extraction_options,extracted_at_utc,pdf_title,pdf_author,pdf_subject,pdf_creator,pdf_producer,pdf_creation_date,pdf_mod_date
7832 (1).pdf,7832 (1).pdf,ai_db_output/json/7832 (1).json,ai_db_output/markdown/7832 (1).md,944083,2026-01-26T18:43:00.638418+00:00,55767eb2447811a881024037acdeba6a56586060809b6f28de97df689208a70c,16,52325,True,False,pdftotext,-layout,2026-01-26T19:16:02.385676+00:00,,,,Canon,Adobe Acrobat 10.11 Paper Capture Plug-in,Fri Nov 25 12:27:46 2011 CET,Tue Dec  6 04:08:46 2011 CET
7832.pdf,7832.pdf,ai_db_output/json/7832.json,ai_db_output/markdown/7832.md,944083,2026-01-26T18:41:23.747312+00:00,55767eb2447811a881024037acdeba6a56586060809b6f28de97df689208a70c,16,52325,True,False,pdftotext,-layout,2026-01-26T19:16:02.455628+00:00,,,,Canon,Adobe Acrobat 10.11 Paper Capture Plug-in,Fri Nov 25 12:27:46 2011 CET,Tue Dec  6 04:08:46 2011 CET
Anmodning_om_forhaandsuttalelse_sendt_til_Vann-_og_avloepsetaten.pdf,Anmodning_om_forhaandsuttalelse_sendt_til_Vann-_og_avloepsetaten.pdf,ai_db_output/json/Anmodning_om_forhaandsuttalelse_sendt_til_Vann-_og_avloepsetaten.json,ai_db_output/markdown/Anmodning_om_forhaandsuttalelse_sendt_til_Vann-_og_avloepsetaten.md,10635009,2026-01-26T19:01:09.643534+00:00,f15c93081a1b9a463947ae79ae90214176d00568a883549808d8c38b074aec80,9,67867,True,False,pdftotext,-layout,2026-01-26T19:16:02.511673+00:00,,Jacobsen Signe,,Microsoft® Word 2013,"PixEdit AS,  PixToolsLib Version 2.6.0.5",Mon Feb 22 12:51:16 2016 CET,Wed Apr 24 08:42:04 2019 CEST
Avfallsrapport.pdf,Avfallsrapport.pdf,ai_db_output/json/Avfallsrapport.json,ai_db_output/markdown/Avfallsrapport.md,2771821,2026-01-26T18:46:41.369027+00:00,7f51c8a6c443220ac4ac4b28a07d6e55bc55d0d1acd6b65562f4c1fb98e60024,5,4817,True,False,pdftotext,-layout,2026-01-26T19:16:02.549045+00:00,Avfallsrapport,Engage - Løvås Transport,Avfallsrapport for 01.12.2024-30.07.2025,react-pdf,react-pdf,Mon Aug  4 16:12:35 2025 CEST,
Behov_for_tilleggsdokumentasjon.pdf,Behov_for_tilleggsdokumentasjon.pdf,ai_db_output/json/Behov_for_tilleggsdokumentasjon.json,ai_db_output/markdown/Behov_for_tilleggsdokumentasjon.md,293404,2026-01-26T19:01:03.617394+00:00,e8968177b1b03ada727bf6fb5e537429082f951ec68fd465611532e9888d0e21,3,5931,True,False,pdftotext,-layout,2026-01-26T19:16:02.579859+00:00,,"arkiv-pdfkvern8,5056975D38",,Microsoft® Word 2010,"Techsoft PixToolsLib Version 2.0.2.12, PixToolsLib",Mon Feb  1 09:14:52 2016 CET,Mon Feb  1 09:14:53 2016 CET
Egenerklaering_av_eierskap_til_offentlig_veigrunn.pdf,Egenerklaering_av_eierskap_til_offentlig_veigrunn.pdf,ai_db_output/json/Egenerklaering_av_eierskap_til_offentlig_veigrunn.json,ai_db_output/markdown/Egenerklaering_av_eierskap_til_offentlig_veigrunn.md,129273,2026-01-26T19:00:33.653458+00:00,55fe845a9b1ab9c542b0e4c10c51b49a1d1108d2bd4a0b1367c2a707e556ba23,1,1172,True,False,pdftotext,-layout,2026-01-26T19:16:02.617186+00:00,,,,Microsoft® Word 2010,Microsoft® Word 2010,Wed Nov 27 09:14:11 2019 CET,Wed Nov 27 09:14:11 2019 CET
Eksisterende_plan_kjeller.pdf,Eksisterende_plan_kjeller.pdf,ai_db_output/json/Eksisterende_plan_kjeller.json,ai_db_output/markdown/Eksisterende_plan_kjeller.md,816760,2026-01-26T18:51:05.472388+00:00,db4e267ac3032e9e93446be5cf44e89800ada902cfb69da297eddae1877b77d6,1,587,True,False,pdftotext,-layout,2026-01-26T19:16:02.647175+00:00,,,,PDF-XChange Standard (9.2 build 359) [GDI] [Windows 10 Enterprise x64 (Build 19045)],"PixEdit AS,  PixToolsLib Version 2.6.5.14",Wed Feb 14 14:05:57 2024 CET,Mon Mar 18 16:44:27 2024 CET
Erklaering_om_ansvarsrett_-_Grunnteknikk_AS.pdf,Erklaering_om_ansvarsrett_-_Grunnteknikk_AS.pdf,ai_db_output/json/Erklaering_om_ansvarsrett_-_Grunnteknikk_AS.json,ai_db_output/markdown/Erklaering_om_ansvarsrett_-_Grunnteknikk_AS.md,773115,2026-01-26T18:48:40.121100+00:00,d104383a3f17a17049401c72a7c90a1760b9ffa0a466050c6c8098a5fa281198,1,5592,True,False,pdftotext,-layout,2026-01-26T19:16:02.684992+00:00,,,,Canon iR-ADV C3830 PDF,"Sikri AS,  PixToolsLib Version 2.10.8.9",Thu Feb 29 14:50:20 2024 CET,Thu Oct 10 15:35:36 2024 CEST
Erklaering_om_ansvarsrett_-_Skape_Entreprenoer_AS.pdf,Erklaering_om_ansvarsrett_-_Skape_Entreprenoer_AS.pdf,ai_db_output/json/Erklaering_om_ansvarsrett_-_Skape_Entreprenoer_AS.json,ai_db_output/markdown/Erklaering_om_ansvarsrett_-_Skape_Entreprenoer_AS.md,256055,2026-01-26T18:49:01.021743+00:00,fa64f64a9b88aa6df45fc3c607f5b9d238e3d10fa7bdc96f78690197d8400f79,2,9115,True,False,pdftotext,-layout,2026-01-26T19:16:02.771928+00:00,5181-ansvarsrett-996414507 UTF Skape (002).pdf,,,,"Sikri AS,  PixToolsLib Version 2.10.8.9",Wed Sep 25 14:31:31 2024 CEST,Thu Oct 10 15:35:36 2024 CEST
Erklaering_om_ansvarsrett_-_VSO_Consulting.pdf,Erklaering_om_ansvarsrett_-_VSO_Consulting.pdf,ai_db_output/json/Erklaering_om_ansvarsrett_-_VSO_Consulting.json,ai_db_output/markdown/Erklaering_om_ansvarsrett_-_VSO_Consulting.md,476711,2026-01-26T18:48:50.237769+00:00,e7b6e62ed00cb591e50c36da281da26e0dd357acf31f24c11aedbf52f3e6a55b,1,4588,True,False,pdftotext,-layout,2026-01-26T19:16:02.800240+00:00,5181-Erklærin_om_ans.rett_s1_s1,,,Microsoft® Word for Microsoft 365,"Sikri AS,  PixToolsLib Version 2.10.8.9",Mon Sep 30 11:03:45 2024 CEST,Thu Oct 10 15:35:36 2024 CEST
Ferdigattest_-_Skoeyen_terrasse_1.pdf,Ferdigattest_-_Skoeyen_terrasse_1.pdf,ai_db_output/json/Ferdigattest_-_Skoeyen_terrasse_1.json,ai_db_output/markdown/Ferdigattest_-_Skoeyen_terrasse_1.md,99837,2026-01-26T18:46:04.366495+00:00,f31cd8fc34bb9e985cac5865af2c4d3351b7bf73f1f03b51f8e81c033bc2c5e1,2,3022,True,False,pdftotext,-layout,2026-01-26T19:16:02.854912+00:00,,pbejobber,,Microsoft Office Word,"Sikri AS,  PixToolsLib Version 2.11.1.20",Mon Sep  1 12:17:20 2025 CEST,Mon Sep  1 12:17:20 2025 CEST
Forhaandsuttalelse_fra_Vann-_og_avloepsetaten.pdf,Forhaandsuttalelse_fra_Vann-_og_avloepsetaten.pdf,ai_db_output/json/Forhaandsuttalelse_fra_Vann-_og_avloepsetaten.json,ai_db_output/markdown/Forhaandsuttalelse_fra_Vann-_og_avloepsetaten.md,513610,2026-01-26T19:01:13.935229+00:00,755d4f0a99cae35c8fad8251aa68227087c8ea8ca4dd115b7c7daf82954e5ede,2,3459,True,False,pdftotext,-layout,2026-01-26T19:16:02.892560+00:00,,Åse Strand Taagerud,,Microsoft® Word 2010,Microsoft® Word 2010,Mon Feb 29 11:08:06 2016 CET,Mon Feb 29 11:08:06 2016 CET
Fundamentplan_utvidelse.pdf,Fundamentplan_utvidelse.pdf,ai_db_output/json/Fundamentplan_utvidelse.json,ai_db_output/markdown/Fundamentplan_utvidelse.md,2659292,2026-01-26T18:49:49.045668+00:00,9bfaf1858c0ebdfa9f541de1cc824dc064f9ace4d6410cfd59ca9392d461f56b,1,1433,True,False,pdftotext,-layout,2026-01-26T19:16:02.941101+00:00,Layout1,,,Autodesk Civil 3D 2023 - English 2023 (24.2s (LMS Tech)),"PixEdit AS,  PixToolsLib Version 2.6.5.14",Mon Feb 12 17:52:36 2024 CET,Mon Mar 18 16:44:28 2024 CET
Gjennomfoeringsplan (1).pdf,Gjennomfoeringsplan (1).pdf,ai_db_output/json/Gjennomfoeringsplan (1).json,ai_db_output/markdown/Gjennomfoeringsplan (1).md,203723,2026-01-26T18:49:09.740520+00:00,5ea96b10ce90afc455bfbfd808c539179099864ca8a03963d629c87cce5d1f90,4,8083,True,False,pdftotext,-layout,2026-01-26T19:16:02.982853+00:00,,,,EO.Pdf,"Sikri AS,  PixToolsLib Version 2.10.8.9",Thu Oct 10 15:35:36 2024 CEST,Thu Oct 10 15:35:36 2024 CEST
Gjennomfoeringsplan (2).pdf,Gjennomfoeringsplan (2).pdf,ai_db_output/json/Gjennomfoeringsplan (2).json,ai_db_output/markdown/Gjennomfoeringsplan (2).md,200233,2026-01-26T18:50:54.103298+00:00,cca5604dd9c006bba03a1db3e57f3c893eeed7de7a0ef25fd1cd337b4585be18,4,7629,True,False,pdftotext,-layout,2026-01-26T19:16:03.058503+00:00,,,,EO.Pdf,"PixEdit AS,  PixToolsLib Version 2.6.5.14",Mon Mar 18 16:44:25 2024 CET,Mon Mar 18 16:44:25 2024 CET
Gjennomfoeringsplan (3).pdf,Gjennomfoeringsplan (3).pdf,ai_db_output/json/Gjennomfoeringsplan (3).json,ai_db_output/markdown/Gjennomfoeringsplan (3).md,447896,2026-01-26T19:00:55.801842+00:00,e61995f650e6ad169bece11000801514d57505112a542b619d3207903e3aa275,1,3145,True,False,pdftotext,-layout,2026-01-26T19:16:03.089474+00:00,,pbejob,,,"PixEdit AS,  PixToolsLib Version 2.6.4.6",Mon Dec 15 12:30:11 2014 CET,Tue Jan 14 12:03:16 2020 CET
